nr_powiatu;Obwodowa Komisja Wyborcza nr;BARTOSZEWICZ Artur;BIEJAT Magdalena Agnieszka;BRAUN Grzegorz Michał;HOŁOWNIA Szymon Franciszek;JAKUBIAK Marek;MACIAK Maciej;MENTZEN Sławomir Jerzy;NAWROCKI Karol Tadeusz;SENYSZYN Joanna;STANOWSKI Krzysztof Jakub;TRZASKOWSKI Rafał Kazimierz;WOCH Marek Marian;ZANDBERG Adrian Tadeusz;
60111;Obwodowa Komisja Wyborcza numer 3;3;3;35;11;1;0;27;89;2;2;26;0;4;
60111;Obwodowa Komisja Wyborcza numer 6;1;18;84;23;4;2;126;313;3;5;57;0;27;
60110;Obwodowa Komisja Wyborcza numer 1;0;2;26;14;5;1;78;133;3;0;18;1;6;
60111;Obwodowa Komisja Wyborcza numer 7;3;7;42;10;3;0;59;94;2;5;30;1;5;
60110;Obwodowa Komisja Wyborcza numer 3;2;11;76;13;1;1;118;204;5;3;31;0;16;
60110;Obwodowa Komisja Wyborcza numer 2;1;9;59;18;11;1;101;206;2;2;54;3;14;
60111;Obwodowa Komisja Wyborcza numer 5;1;3;52;8;3;0;79;150;1;2;40;0;6;
60111;Obwodowa Komisja Wyborcza numer 4;5;15;107;46;7;2;146;450;12;7;161;1;33;
60110;Obwodowa Komisja Wyborcza numer 11;1;4;50;10;1;0;73;127;2;3;16;2;3;
60110;Obwodowa Komisja Wyborcza numer 4;2;11;74;9;2;0;117;221;6;4;24;1;6;
60110;Obwodowa Komisja Wyborcza numer 5;1;0;42;8;1;2;62;144;1;3;10;1;6;
60119;Obwodowa Komisja Wyborcza numer 1;1;5;28;12;0;0;42;116;3;4;37;0;4;
60117;Obwodowa Komisja Wyborcza numer 3;1;8;44;25;6;3;57;77;5;2;52;0;4;
60110;Obwodowa Komisja Wyborcza numer 13;0;0;11;6;1;0;60;103;1;2;10;0;4;
60110;Obwodowa Komisja Wyborcza numer 10;2;11;59;11;7;0;73;211;3;3;40;1;10;
60110;Obwodowa Komisja Wyborcza numer 15;1;3;22;7;0;0;57;117;3;1;18;1;6;
60117;Obwodowa Komisja Wyborcza numer 1;1;4;37;5;8;1;36;111;3;3;20;1;8;
60110;Obwodowa Komisja Wyborcza numer 9;0;8;71;23;1;4;84;173;4;3;25;0;7;
60117;Obwodowa Komisja Wyborcza numer 2;1;13;105;21;11;1;139;346;8;6;84;1;23;
60110;Obwodowa Komisja Wyborcza numer 8;2;4;41;16;3;0;58;153;1;9;38;2;11;
60110;Obwodowa Komisja Wyborcza numer 7;2;3;43;13;5;1;46;129;3;4;19;3;13;
60110;Obwodowa Komisja Wyborcza numer 12;1;14;58;25;1;0;120;191;3;8;66;7;29;
60110;Obwodowa Komisja Wyborcza numer 6;0;1;35;9;1;1;53;122;0;1;14;0;7;
60110;Obwodowa Komisja Wyborcza numer 14;0;5;12;8;1;0;53;124;1;3;29;5;3;
60116;Obwodowa Komisja Wyborcza numer 4;1;5;17;7;1;0;42;104;0;2;34;0;6;
60116;Obwodowa Komisja Wyborcza numer 3;5;18;100;33;8;0;139;353;2;7;140;0;24;
60116;Obwodowa Komisja Wyborcza numer 6;1;7;60;7;5;0;60;102;2;2;59;0;9;
60116;Obwodowa Komisja Wyborcza numer 5;1;3;23;11;3;0;47;104;1;7;63;1;7;
60116;Obwodowa Komisja Wyborcza numer 10;0;5;19;12;3;0;29;59;1;2;24;0;7;
60119;Obwodowa Komisja Wyborcza numer 6;1;2;25;4;0;0;35;90;3;2;21;0;5;
60119;Obwodowa Komisja Wyborcza numer 2;0;3;36;2;3;1;69;124;0;0;31;1;8;
60119;Obwodowa Komisja Wyborcza numer 5;0;2;32;7;1;0;25;118;3;2;28;0;6;
60116;Obwodowa Komisja Wyborcza numer 1;1;3;34;7;2;0;42;93;1;3;35;0;2;
60119;Obwodowa Komisja Wyborcza numer 4;2;11;93;30;6;1;150;243;3;8;125;5;29;
60116;Obwodowa Komisja Wyborcza numer 2;1;5;37;19;2;0;47;100;1;3;35;2;9;
60116;Obwodowa Komisja Wyborcza numer 9;2;11;38;9;0;0;41;121;0;1;16;0;10;
60116;Obwodowa Komisja Wyborcza numer 8;0;3;9;3;3;0;15;72;1;1;7;3;2;
60119;Obwodowa Komisja Wyborcza numer 3;4;5;42;17;2;6;53;128;3;2;53;1;7;
60116;Obwodowa Komisja Wyborcza numer 11;0;6;34;10;3;1;35;112;0;1;26;0;5;
60116;Obwodowa Komisja Wyborcza numer 7;0;4;17;8;0;1;24;76;0;1;20;0;4;
60118;Obwodowa Komisja Wyborcza numer 1;3;4;24;15;3;0;37;94;2;0;21;4;5;
60118;Obwodowa Komisja Wyborcza numer 2;2;3;37;12;3;3;43;116;1;1;69;1;10;
60118;Obwodowa Komisja Wyborcza numer 5;4;4;31;10;2;0;31;123;2;1;29;0;12;
60202;Obwodowa Komisja Wyborcza numer 4;2;7;42;14;4;4;88;162;2;1;36;1;8;
60118;Obwodowa Komisja Wyborcza numer 7;1;3;11;18;2;0;21;78;2;0;60;0;4;
60118;Obwodowa Komisja Wyborcza numer 3;3;7;32;17;4;0;41;135;6;6;33;0;10;
60202;Obwodowa Komisja Wyborcza numer 2;2;3;44;14;2;2;85;183;3;3;31;1;7;
60201;Obwodowa Komisja Wyborcza numer 3;1;10;49;17;3;1;56;147;3;7;106;0;11;
60118;Obwodowa Komisja Wyborcza numer 4;8;24;68;25;10;2;84;227;6;6;151;1;21;
60201;Obwodowa Komisja Wyborcza numer 2;13;32;142;71;6;0;196;369;8;9;303;0;40;
60118;Obwodowa Komisja Wyborcza numer 6;0;14;24;11;1;2;47;130;1;5;50;1;11;
60118;Obwodowa Komisja Wyborcza numer 8;0;1;1;0;0;0;0;7;0;0;3;0;0;
60202;Obwodowa Komisja Wyborcza numer 1;1;3;50;20;7;0;107;247;2;1;32;1;12;
60201;Obwodowa Komisja Wyborcza numer 4;5;33;112;53;8;3;169;399;7;8;343;0;42;
60202;Obwodowa Komisja Wyborcza numer 3;0;3;34;4;3;1;63;187;0;1;12;1;6;
60201;Obwodowa Komisja Wyborcza numer 1;4;29;112;65;11;7;128;399;9;10;323;2;23;
60201;Obwodowa Komisja Wyborcza numer 11;4;15;66;25;4;2;76;186;8;2;195;1;23;
60201;Obwodowa Komisja Wyborcza numer 9;6;24;80;27;3;2;91;227;1;5;152;0;24;
60201;Obwodowa Komisja Wyborcza numer 7;8;24;122;64;17;3;174;582;5;12;307;1;39;
60201;Obwodowa Komisja Wyborcza numer 5;4;12;66;21;4;0;70;214;6;5;174;0;13;
60203;Obwodowa Komisja Wyborcza numer 5;4;2;11;3;2;3;35;90;1;0;14;0;8;
60203;Obwodowa Komisja Wyborcza numer 2;3;2;58;12;4;3;84;169;2;5;32;0;8;
60201;Obwodowa Komisja Wyborcza numer 14;0;1;8;2;2;0;5;60;0;1;15;1;1;
60203;Obwodowa Komisja Wyborcza numer 1;0;6;52;5;1;1;82;165;1;2;24;0;12;
60201;Obwodowa Komisja Wyborcza numer 15;2;4;1;2;0;2;2;22;2;0;13;0;0;
60203;Obwodowa Komisja Wyborcza numer 4;5;8;63;16;11;1;111;303;1;4;46;0;10;
60201;Obwodowa Komisja Wyborcza numer 13;0;4;62;31;3;5;93;208;6;6;173;0;24;
60201;Obwodowa Komisja Wyborcza numer 6;12;25;94;44;6;1;126;365;6;11;297;0;29;
60201;Obwodowa Komisja Wyborcza numer 12;8;34;140;65;15;4;151;426;10;15;298;3;44;
60201;Obwodowa Komisja Wyborcza numer 8;9;20;86;61;11;1;148;450;8;8;312;1;20;
60201;Obwodowa Komisja Wyborcza numer 10;7;37;121;75;16;3;287;487;8;11;332;0;43;
60203;Obwodowa Komisja Wyborcza numer 3;5;3;48;32;4;0;113;218;3;2;48;0;18;
60203;Obwodowa Komisja Wyborcza numer 7;3;11;85;16;4;0;74;247;4;6;45;0;9;
60203;Obwodowa Komisja Wyborcza numer 10;3;5;42;5;4;2;47;115;1;3;15;1;3;
60203;Obwodowa Komisja Wyborcza numer 11;0;4;33;10;2;0;44;104;4;1;31;0;5;
60203;Obwodowa Komisja Wyborcza numer 9;2;3;69;9;1;1;87;173;1;2;28;0;7;
60203;Obwodowa Komisja Wyborcza numer 15;4;5;11;8;2;0;32;52;2;0;34;0;3;
60203;Obwodowa Komisja Wyborcza numer 17;6;3;1;0;4;0;11;6;0;1;1;1;1;
60203;Obwodowa Komisja Wyborcza numer 16;0;4;30;5;0;2;41;96;3;1;20;1;4;
60203;Obwodowa Komisja Wyborcza numer 6;3;5;60;19;5;1;79;213;1;6;33;2;6;
60204;Obwodowa Komisja Wyborcza numer 3;2;8;62;17;5;2;83;209;4;2;33;0;10;
60204;Obwodowa Komisja Wyborcza numer 1;6;4;48;17;7;0;98;275;6;3;43;1;7;
60203;Obwodowa Komisja Wyborcza numer 14;1;4;102;7;2;0;101;221;1;3;41;0;9;
60203;Obwodowa Komisja Wyborcza numer 12;1;15;85;30;3;2;116;205;7;11;104;0;17;
60203;Obwodowa Komisja Wyborcza numer 8;8;13;111;46;5;3;161;389;5;7;105;1;34;
60204;Obwodowa Komisja Wyborcza numer 4;0;1;41;17;1;2;45;184;0;0;20;0;5;
60203;Obwodowa Komisja Wyborcza numer 13;2;11;65;26;8;1;110;218;1;5;88;0;13;
60204;Obwodowa Komisja Wyborcza numer 2;0;5;56;10;1;0;115;200;3;3;62;2;9;
60301;Obwodowa Komisja Wyborcza numer 1;4;10;54;19;5;1;92;211;6;5;78;0;17;
60301;Obwodowa Komisja Wyborcza numer 2;3;20;52;30;3;1;107;192;2;4;138;0;11;
60211;Obwodowa Komisja Wyborcza numer 3;2;10;68;24;8;1;104;387;4;7;53;0;9;
60205;Obwodowa Komisja Wyborcza numer 8;0;3;30;3;1;0;23;48;0;0;13;0;1;
60205;Obwodowa Komisja Wyborcza numer 9;4;5;39;7;2;1;47;124;2;0;45;0;8;
60205;Obwodowa Komisja Wyborcza numer 1;5;16;71;22;4;0;121;290;2;9;132;1;15;
60301;Obwodowa Komisja Wyborcza numer 3;4;18;54;28;12;3;125;297;5;9;179;1;26;
60205;Obwodowa Komisja Wyborcza numer 3;1;4;36;6;4;1;83;164;1;4;22;0;7;
60205;Obwodowa Komisja Wyborcza numer 4;0;3;30;15;5;1;55;141;0;2;41;0;11;
60205;Obwodowa Komisja Wyborcza numer 6;0;3;18;7;2;0;65;122;0;1;19;0;6;
60211;Obwodowa Komisja Wyborcza numer 4;1;2;65;13;7;0;189;541;2;12;41;0;11;
60211;Obwodowa Komisja Wyborcza numer 2;1;4;42;13;2;1;68;209;4;2;25;0;8;
60205;Obwodowa Komisja Wyborcza numer 7;0;3;28;4;3;0;67;132;3;1;26;1;1;
60205;Obwodowa Komisja Wyborcza numer 2;0;0;16;0;0;0;28;80;0;1;1;0;0;
60205;Obwodowa Komisja Wyborcza numer 5;2;8;37;19;1;1;80;260;1;0;40;1;11;
60211;Obwodowa Komisja Wyborcza numer 1;1;4;65;19;5;0;100;331;5;5;52;1;18;
60208;Obwodowa Komisja Wyborcza numer 2;9;22;149;36;13;4;281;480;5;10;126;0;33;
60206;Obwodowa Komisja Wyborcza numer 2;1;12;80;10;4;0;133;305;1;2;40;0;10;
60208;Obwodowa Komisja Wyborcza numer 5;0;1;28;1;1;0;31;84;0;0;4;0;0;
60208;Obwodowa Komisja Wyborcza numer 6;0;4;39;12;2;1;42;110;4;0;26;0;4;
60208;Obwodowa Komisja Wyborcza numer 1;0;6;43;9;2;1;113;207;1;1;58;0;10;
60208;Obwodowa Komisja Wyborcza numer 7;1;1;18;13;3;0;40;113;1;1;11;0;3;
60210;Obwodowa Komisja Wyborcza numer 3;0;4;40;3;4;0;60;133;1;0;27;0;5;
60206;Obwodowa Komisja Wyborcza numer 3;1;2;32;5;2;0;31;171;3;0;20;0;3;
60206;Obwodowa Komisja Wyborcza numer 5;1;1;39;11;1;0;29;111;1;2;17;0;6;
60210;Obwodowa Komisja Wyborcza numer 2;2;7;67;10;5;2;100;257;1;5;25;0;12;
60208;Obwodowa Komisja Wyborcza numer 4;0;5;47;13;2;2;133;231;1;3;50;0;15;
60206;Obwodowa Komisja Wyborcza numer 4;2;5;29;8;5;1;43;130;0;2;25;0;3;
60208;Obwodowa Komisja Wyborcza numer 3;1;12;88;17;8;1;138;367;5;5;66;0;12;
60206;Obwodowa Komisja Wyborcza numer 1;1;0;33;7;2;1;67;158;2;3;17;0;7;
60210;Obwodowa Komisja Wyborcza numer 1;2;7;77;24;5;0;136;265;2;2;67;0;19;
60210;Obwodowa Komisja Wyborcza numer 4;3;5;90;7;8;1;158;346;1;1;45;0;2;
60213;Obwodowa Komisja Wyborcza numer 3;3;3;57;10;1;1;67;166;1;7;56;0;11;
60206;Obwodowa Komisja Wyborcza numer 6;3;0;40;6;2;0;44;144;0;2;13;0;1;
60302;Obwodowa Komisja Wyborcza numer 1;2;6;100;26;7;3;116;235;3;7;92;0;17;
60212;Obwodowa Komisja Wyborcza numer 1;0;1;56;4;1;0;38;152;0;0;14;0;5;
60212;Obwodowa Komisja Wyborcza numer 4;3;4;24;1;3;1;63;168;6;1;28;0;2;
60212;Obwodowa Komisja Wyborcza numer 6;3;15;47;21;5;0;108;250;4;7;106;0;17;
60213;Obwodowa Komisja Wyborcza numer 1;0;3;28;5;1;1;42;95;2;2;48;0;6;
60213;Obwodowa Komisja Wyborcza numer 4;1;6;51;8;3;0;65;224;1;0;42;0;14;
60212;Obwodowa Komisja Wyborcza numer 8;1;2;56;4;3;0;88;213;0;2;16;0;7;
60213;Obwodowa Komisja Wyborcza numer 2;5;12;109;14;10;0;124;313;3;5;102;2;16;
60213;Obwodowa Komisja Wyborcza numer 5;0;1;27;2;1;0;15;49;1;0;11;0;0;
60212;Obwodowa Komisja Wyborcza numer 5;2;12;34;14;2;0;86;243;3;8;98;0;12;
60212;Obwodowa Komisja Wyborcza numer 3;0;5;32;13;0;1;73;182;1;1;35;0;5;
60212;Obwodowa Komisja Wyborcza numer 7;0;8;44;8;7;7;75;213;4;2;103;0;13;
60212;Obwodowa Komisja Wyborcza numer 9;1;2;1;0;0;0;2;12;0;0;4;0;0;
60212;Obwodowa Komisja Wyborcza numer 2;3;2;29;13;2;0;61;142;2;3;14;0;5;
60207;Obwodowa Komisja Wyborcza numer 2;2;10;51;19;5;0;87;148;2;8;95;0;15;
60302;Obwodowa Komisja Wyborcza numer 3;0;5;35;2;1;0;68;157;5;1;41;0;4;
60207;Obwodowa Komisja Wyborcza numer 7;0;3;30;0;0;0;27;103;1;1;13;0;4;
60207;Obwodowa Komisja Wyborcza numer 9;0;1;14;4;2;1;22;45;0;1;40;0;3;
60214;Obwodowa Komisja Wyborcza numer 1;1;9;46;5;5;1;60;243;2;5;75;0;9;
60207;Obwodowa Komisja Wyborcza numer 1;0;12;41;23;7;1;68;209;4;3;163;0;18;
60207;Obwodowa Komisja Wyborcza numer 4;0;12;53;12;6;1;59;174;1;1;85;0;9;
60207;Obwodowa Komisja Wyborcza numer 3;0;10;8;7;2;1;41;94;1;2;47;0;10;
60214;Obwodowa Komisja Wyborcza numer 4;1;2;37;5;0;1;27;145;1;1;8;0;6;
60207;Obwodowa Komisja Wyborcza numer 10;1;7;17;2;0;0;35;62;0;1;29;1;7;
60214;Obwodowa Komisja Wyborcza numer 3;1;8;18;2;1;1;18;94;3;1;9;0;0;
60207;Obwodowa Komisja Wyborcza numer 8;1;7;23;3;5;2;39;91;5;5;59;0;9;
60214;Obwodowa Komisja Wyborcza numer 2;0;4;42;6;0;3;41;229;1;0;19;0;6;
60207;Obwodowa Komisja Wyborcza numer 5;1;6;46;1;0;1;58;116;0;2;20;0;3;
60302;Obwodowa Komisja Wyborcza numer 2;0;5;20;8;0;0;44;115;1;3;31;0;0;
60207;Obwodowa Komisja Wyborcza numer 6;4;3;36;8;2;1;75;183;1;5;39;0;10;
60214;Obwodowa Komisja Wyborcza numer 8;0;1;72;9;1;0;44;160;3;0;18;0;6;
60214;Obwodowa Komisja Wyborcza numer 6;2;7;34;9;0;0;41;110;2;2;51;0;4;
60214;Obwodowa Komisja Wyborcza numer 13;3;0;14;1;0;0;21;107;0;3;11;0;4;
60209;Obwodowa Komisja Wyborcza numer 3;3;7;43;11;4;1;121;237;3;4;54;0;2;
60304;Obwodowa Komisja Wyborcza numer 1;4;4;57;19;4;3;86;218;3;7;75;0;15;
60214;Obwodowa Komisja Wyborcza numer 14;1;0;18;7;1;0;15;79;0;0;6;0;1;
60209;Obwodowa Komisja Wyborcza numer 1;4;7;86;13;5;6;119;345;3;1;62;0;14;
60214;Obwodowa Komisja Wyborcza numer 12;2;1;11;2;1;0;24;57;1;0;19;1;0;
60214;Obwodowa Komisja Wyborcza numer 9;0;3;29;11;2;1;36;135;0;1;9;0;5;
60209;Obwodowa Komisja Wyborcza numer 2;5;4;132;13;8;2;156;415;2;8;71;0;10;
60304;Obwodowa Komisja Wyborcza numer 2;3;11;40;8;4;0;60;106;3;4;45;1;9;
60214;Obwodowa Komisja Wyborcza numer 15;0;1;1;0;1;0;0;8;1;0;1;0;0;
60214;Obwodowa Komisja Wyborcza numer 5;0;3;12;13;0;0;47;146;1;2;16;0;3;
60214;Obwodowa Komisja Wyborcza numer 11;1;1;33;5;0;0;23;84;0;3;6;1;1;
60214;Obwodowa Komisja Wyborcza numer 7;0;5;13;1;8;1;17;70;0;0;6;0;4;
60214;Obwodowa Komisja Wyborcza numer 10;0;2;19;2;3;0;21;64;1;3;10;0;4;
60304;Obwodowa Komisja Wyborcza numer 5;2;12;107;21;8;0;116;274;5;6;101;0;24;
60303;Obwodowa Komisja Wyborcza numer 1;3;12;51;12;2;0;104;117;2;5;81;1;12;
60304;Obwodowa Komisja Wyborcza numer 3;1;4;28;8;1;0;46;168;1;2;62;1;7;
60303;Obwodowa Komisja Wyborcza numer 3;4;3;9;9;2;0;15;28;1;2;20;0;2;
60304;Obwodowa Komisja Wyborcza numer 4;3;12;62;9;3;0;72;173;0;4;36;0;8;
60303;Obwodowa Komisja Wyborcza numer 8;2;17;49;24;2;0;76;117;3;5;109;0;24;
60303;Obwodowa Komisja Wyborcza numer 5;2;15;59;17;3;2;108;159;3;3;103;0;9;
60303;Obwodowa Komisja Wyborcza numer 6;0;9;28;14;1;0;61;123;2;1;58;0;8;
60303;Obwodowa Komisja Wyborcza numer 11;1;4;24;2;0;0;29;54;0;0;30;1;7;
60303;Obwodowa Komisja Wyborcza numer 2;1;16;26;14;2;0;57;76;2;5;92;0;11;
60304;Obwodowa Komisja Wyborcza numer 7;5;9;35;6;2;0;73;190;3;2;18;0;6;
60304;Obwodowa Komisja Wyborcza numer 6;4;6;36;4;3;0;72;145;0;0;29;0;7;
60303;Obwodowa Komisja Wyborcza numer 4;2;3;16;4;1;0;10;45;0;0;28;1;6;
60303;Obwodowa Komisja Wyborcza numer 10;5;16;34;21;2;0;50;108;0;1;84;0;9;
60303;Obwodowa Komisja Wyborcza numer 9;13;18;59;38;7;0;128;146;6;9;190;0;28;
60303;Obwodowa Komisja Wyborcza numer 7;2;8;44;12;3;3;61;108;2;2;53;0;6;
60303;Obwodowa Komisja Wyborcza numer 12;1;12;55;40;5;1;66;118;2;6;104;0;11;
60303;Obwodowa Komisja Wyborcza numer 17;1;2;16;11;1;1;31;56;0;2;24;0;7;
60303;Obwodowa Komisja Wyborcza numer 20;0;2;21;3;2;0;30;57;0;0;11;0;2;
60303;Obwodowa Komisja Wyborcza numer 13;1;8;45;18;7;0;97;129;4;1;44;0;5;
60303;Obwodowa Komisja Wyborcza numer 16;5;4;14;7;0;0;51;96;0;1;14;0;7;
60303;Obwodowa Komisja Wyborcza numer 18;7;13;52;27;7;0;99;174;7;7;94;1;22;
60303;Obwodowa Komisja Wyborcza numer 21;1;17;91;30;6;2;112;180;3;7;92;0;19;
60303;Obwodowa Komisja Wyborcza numer 24;1;3;12;6;3;0;44;60;0;5;19;0;4;
60303;Obwodowa Komisja Wyborcza numer 22;3;1;18;3;0;0;35;61;2;0;31;0;1;
60303;Obwodowa Komisja Wyborcza numer 14;0;7;39;10;2;0;65;125;1;1;24;1;7;
60303;Obwodowa Komisja Wyborcza numer 15;3;1;21;2;3;2;33;40;0;2;27;0;4;
60305;Obwodowa Komisja Wyborcza numer 2;2;21;43;32;2;1;75;210;6;9;165;0;5;
60303;Obwodowa Komisja Wyborcza numer 19;0;2;23;3;2;1;18;43;1;0;12;0;6;
60303;Obwodowa Komisja Wyborcza numer 25;0;2;21;7;1;0;28;70;0;2;14;1;3;
60305;Obwodowa Komisja Wyborcza numer 1;1;8;28;6;1;0;51;91;1;0;36;0;3;
60303;Obwodowa Komisja Wyborcza numer 23;3;4;14;4;4;0;19;45;3;1;40;0;3;
60306;Obwodowa Komisja Wyborcza numer 6;0;18;59;18;5;1;147;163;6;4;76;0;14;
60306;Obwodowa Komisja Wyborcza numer 4;1;5;50;20;1;0;82;100;2;2;60;1;11;
60308;Obwodowa Komisja Wyborcza numer 1;3;15;32;17;0;2;90;191;2;3;46;1;13;
60306;Obwodowa Komisja Wyborcza numer 1;2;6;26;0;1;0;41;67;2;0;25;0;3;
60310;Obwodowa Komisja Wyborcza numer 1;0;3;16;4;0;0;26;65;4;3;19;1;3;
60305;Obwodowa Komisja Wyborcza numer 3;0;9;22;12;2;1;29;60;1;2;22;2;3;
60306;Obwodowa Komisja Wyborcza numer 3;0;2;18;3;1;6;34;72;0;1;18;0;5;
60310;Obwodowa Komisja Wyborcza numer 2;3;8;37;16;4;0;62;139;3;6;25;0;13;
60308;Obwodowa Komisja Wyborcza numer 3;1;9;32;6;1;2;78;156;2;7;48;1;18;
60308;Obwodowa Komisja Wyborcza numer 4;3;14;64;9;5;3;96;310;1;7;38;2;13;
60306;Obwodowa Komisja Wyborcza numer 5;1;13;47;10;0;0;51;117;0;5;31;0;9;
60306;Obwodowa Komisja Wyborcza numer 2;4;9;66;7;2;0;88;152;6;3;48;0;8;
60310;Obwodowa Komisja Wyborcza numer 4;0;2;12;8;0;1;18;37;1;0;23;1;1;
60308;Obwodowa Komisja Wyborcza numer 5;1;4;13;4;1;0;16;102;2;0;5;0;1;
60308;Obwodowa Komisja Wyborcza numer 2;1;4;25;11;3;1;50;127;2;0;31;0;2;
60310;Obwodowa Komisja Wyborcza numer 3;0;8;51;9;3;2;68;122;1;3;29;3;4;
60307;Obwodowa Komisja Wyborcza numer 1;0;6;22;10;2;1;47;46;3;0;28;0;3;
60310;Obwodowa Komisja Wyborcza numer 5;0;10;78;18;4;0;102;195;7;1;55;0;8;
60310;Obwodowa Komisja Wyborcza numer 6;5;31;116;47;8;1;167;364;10;10;171;2;37;
60309;Obwodowa Komisja Wyborcza numer 1;0;9;49;15;1;1;37;126;1;2;42;0;7;
60307;Obwodowa Komisja Wyborcza numer 5;1;9;28;13;2;2;56;72;2;3;22;0;4;
60406;Obwodowa Komisja Wyborcza numer 4;2;1;9;4;0;0;17;60;0;0;19;1;0;
60309;Obwodowa Komisja Wyborcza numer 2;4;20;130;41;2;1;156;365;6;14;158;2;31;
60309;Obwodowa Komisja Wyborcza numer 3;2;10;43;23;2;2;56;101;2;3;59;0;8;
60309;Obwodowa Komisja Wyborcza numer 4;2;11;34;11;1;0;50;77;4;1;19;0;1;
60309;Obwodowa Komisja Wyborcza numer 5;3;6;6;12;0;1;18;47;0;1;26;0;2;
60406;Obwodowa Komisja Wyborcza numer 1;0;15;61;25;3;3;132;247;2;4;73;0;8;
60307;Obwodowa Komisja Wyborcza numer 4;3;13;35;25;4;0;61;121;4;5;54;0;10;
60307;Obwodowa Komisja Wyborcza numer 3;0;9;34;10;0;2;47;133;1;1;39;0;5;
60406;Obwodowa Komisja Wyborcza numer 3;3;11;81;21;5;0;95;328;8;5;102;2;17;
60406;Obwodowa Komisja Wyborcza numer 2;0;5;43;5;3;0;82;201;1;3;12;1;7;
60307;Obwodowa Komisja Wyborcza numer 2;3;16;47;29;3;0;73;163;2;5;72;0;12;
60313;Obwodowa Komisja Wyborcza numer 2;2;3;17;5;3;0;34;140;1;0;24;0;2;
60313;Obwodowa Komisja Wyborcza numer 3;1;10;66;27;5;0;126;315;4;3;102;5;19;
60313;Obwodowa Komisja Wyborcza numer 1;1;1;25;6;0;0;45;119;2;0;15;1;2;
60313;Obwodowa Komisja Wyborcza numer 6;0;1;6;3;0;0;14;76;0;0;2;0;1;
60313;Obwodowa Komisja Wyborcza numer 5;1;6;37;7;2;0;49;116;0;1;32;2;5;
60315;Obwodowa Komisja Wyborcza numer 4;0;18;52;9;3;1;69;180;1;6;36;1;19;
60313;Obwodowa Komisja Wyborcza numer 4;3;2;27;3;0;0;17;59;2;1;36;0;0;
60315;Obwodowa Komisja Wyborcza numer 6;0;7;29;8;2;0;43;86;1;2;41;0;3;
60315;Obwodowa Komisja Wyborcza numer 2;3;32;72;31;7;1;123;251;5;5;134;0;21;
60311;Obwodowa Komisja Wyborcza numer 1;0;3;22;8;1;1;82;182;0;1;28;1;12;
60315;Obwodowa Komisja Wyborcza numer 1;4;8;15;9;0;0;50;101;2;2;26;0;6;
60315;Obwodowa Komisja Wyborcza numer 3;2;14;31;14;3;1;63;204;1;1;44;0;6;
60315;Obwodowa Komisja Wyborcza numer 7;2;8;52;17;3;2;86;181;7;3;64;1;15;
60311;Obwodowa Komisja Wyborcza numer 2;1;4;26;3;0;0;40;87;0;2;20;2;8;
60315;Obwodowa Komisja Wyborcza numer 8;2;1;5;4;0;0;11;54;0;3;17;0;3;
60315;Obwodowa Komisja Wyborcza numer 5;0;5;34;9;0;0;24;62;0;0;24;0;4;
60311;Obwodowa Komisja Wyborcza numer 3;1;4;22;10;4;1;51;134;2;4;24;0;3;
60311;Obwodowa Komisja Wyborcza numer 7;1;6;17;12;0;1;51;96;1;1;25;1;10;
60402;Obwodowa Komisja Wyborcza numer 2;1;7;7;8;0;0;25;73;1;0;40;0;2;
60314;Obwodowa Komisja Wyborcza numer 3;2;6;39;11;3;1;65;79;1;1;42;0;11;
60314;Obwodowa Komisja Wyborcza numer 2;2;26;83;16;8;1;135;213;2;5;80;0;16;
60314;Obwodowa Komisja Wyborcza numer 1;0;4;27;5;1;0;31;52;0;0;14;0;0;
60402;Obwodowa Komisja Wyborcza numer 3;0;2;12;8;0;0;23;58;0;2;9;0;0;
60311;Obwodowa Komisja Wyborcza numer 8;2;6;72;12;0;3;71;159;2;0;57;0;7;
60311;Obwodowa Komisja Wyborcza numer 4;2;5;44;13;1;0;57;138;0;1;41;0;5;
60311;Obwodowa Komisja Wyborcza numer 5;1;0;16;2;0;0;31;78;2;2;9;0;1;
60402;Obwodowa Komisja Wyborcza numer 1;4;13;65;33;3;0;114;240;6;3;115;1;12;
60311;Obwodowa Komisja Wyborcza numer 9;2;20;104;33;10;2;129;328;9;12;149;1;34;
60311;Obwodowa Komisja Wyborcza numer 6;1;2;31;4;1;1;45;115;3;1;22;0;8;
60314;Obwodowa Komisja Wyborcza numer 5;0;2;17;0;0;0;20;86;1;1;13;0;2;
60314;Obwodowa Komisja Wyborcza numer 6;0;2;12;10;0;0;28;47;0;0;16;0;5;
60314;Obwodowa Komisja Wyborcza numer 4;1;0;15;11;0;0;26;69;0;1;14;0;6;
60402;Obwodowa Komisja Wyborcza numer 4;11;3;40;6;4;1;45;153;2;3;21;0;10;
60402;;2;3;22;16;1;0;72;140;4;0;30;0;6;
60407;Obwodowa Komisja Wyborcza numer 4;0;2;12;0;2;0;30;105;0;0;15;0;2;
60407;Obwodowa Komisja Wyborcza numer 6;0;2;12;7;0;0;25;68;0;0;20;1;4;
60312;Obwodowa Komisja Wyborcza numer 4;4;8;72;15;5;0;86;217;1;5;81;1;13;
60407;Obwodowa Komisja Wyborcza numer 2;1;7;16;4;0;1;65;180;1;0;13;0;1;
